name	version	license	license_source
dispatch2	0.3.0	Zlib OR Apache-2.0 OR MIT	vendor/dispatch2/Cargo.toml
displaydoc	0.2.5	MIT OR Apache-2.0	vendor/displaydoc/Cargo.toml
dlv-list	0.5.2	MIT OR Apache-2.0	vendor/dlv-list/Cargo.toml
downcast	0.11.0	MIT	vendor/downcast/Cargo.toml
dunce	1.0.5	CC0-1.0 OR MIT-0 OR Apache-2.0	vendor/dunce/Cargo.toml
dyn-clone	1.0.19	MIT OR Apache-2.0	vendor/dyn-clone/Cargo.toml
either	1.15.0	MIT OR Apache-2.0	vendor/either/Cargo.toml
encoding_rs	0.8.35	(Apache-2.0 OR MIT) AND BSD-3-Clause	vendor/encoding_rs/Cargo.toml
endi	1.1.0	MIT	vendor/endi/Cargo.toml
enumflags2	0.7.11	MIT OR Apache-2.0	vendor/enumflags2/Cargo.toml
enumflags2_derive	0.7.11	MIT OR Apache-2.0	vendor/enumflags2_derive/Cargo.toml
env_home	0.1.0	MIT OR Apache-2.0	vendor/env_home/Cargo.toml
equivalent	1.0.2	Apache-2.0 OR MIT	vendor/equivalent/Cargo.toml
errno	0.2.8	MIT/Apache-2.0	vendor/errno-0.2.8/Cargo.toml
errno	0.3.11	MIT OR Apache-2.0	vendor/errno/Cargo.toml
errno-dragonfly	0.1.2	MIT	vendor/errno-dragonfly/Cargo.toml
event-listener	5.4.0	Apache-2.0 OR MIT	vendor/event-listener/Cargo.toml
event-listener-strategy	0.5.4	Apache-2.0 OR MIT	vendor/event-listener-strategy/Cargo.toml
faster-hex	0.10.0	MIT	vendor/faster-hex/Cargo.toml
fastrand	2.3.0	Apache-2.0 OR MIT	vendor/fastrand/Cargo.toml
filedescriptor	0.8.3	MIT	vendor/filedescriptor/Cargo.toml
filetime	0.2.25	MIT/Apache-2.0	vendor/filetime/Cargo.toml
flate2	1.1.1	MIT OR Apache-2.0	vendor/flate2/Cargo.toml
fnv	1.0.7	Apache-2.0 / MIT	vendor/fnv/Cargo.toml
foldhash	0.1.5	Zlib	vendor/foldhash/Cargo.toml
form_urlencoded	1.2.1	MIT OR Apache-2.0	vendor/form_urlencoded/Cargo.toml
fragile	2.0.1	Apache-2.0	vendor/fragile/Cargo.toml
futures-core	0.3.31	MIT OR Apache-2.0	vendor/futures-core/Cargo.toml
futures-io	0.3.31	MIT OR Apache-2.0	vendor/futures-io/Cargo.toml
futures-lite	2.6.0	Apache-2.0 OR MIT	vendor/futures-lite/Cargo.toml
generic-array	0.14.7	MIT	vendor/generic-array/Cargo.toml
getrandom	0.2.16	MIT OR Apache-2.0	vendor/getrandom-0.2.16/Cargo.toml
getrandom	0.3.2	MIT OR Apache-2.0	vendor/getrandom/Cargo.toml
gix	0.72.1	MIT OR Apache-2.0	vendor/gix/Cargo.toml
gix-actor	0.35.1	MIT OR Apache-2.0	vendor/gix-actor/Cargo.toml
gix-attributes	0.26.0	MIT OR Apache-2.0	vendor/gix-attributes/Cargo.toml
gix-bitmap	0.2.14	MIT OR Apache-2.0	vendor/gix-bitmap/Cargo.toml
gix-chunk	0.4.11	MIT OR Apache-2.0	vendor/gix-chunk/Cargo.toml
gix-command	0.6.0	MIT OR Apache-2.0	vendor/gix-command/Cargo.toml
gix-commitgraph	0.28.0	MIT OR Apache-2.0	vendor/gix-commitgraph/Cargo.toml
gix-config	0.45.1	MIT OR Apache-2.0	vendor/gix-config/Cargo.toml
gix-config-value	0.15.0	MIT OR Apache-2.0	vendor/gix-config-value/Cargo.toml
gix-date	0.10.1	MIT OR Apache-2.0	vendor/gix-date/Cargo.toml
gix-diff	0.52.1	MIT OR Apache-2.0	vendor/gix-diff/Cargo.toml
gix-dir	0.14.1	MIT OR Apache-2.0	vendor/gix-dir/Cargo.toml
gix-discover	0.40.1	MIT OR Apache-2.0	vendor/gix-discover/Cargo.toml
gix-features	0.42.1	MIT OR Apache-2.0	vendor/gix-features/Cargo.toml
gix-filter	0.19.1	MIT OR Apache-2.0	vendor/gix-filter/Cargo.toml
gix-fs	0.15.0	MIT OR Apache-2.0	vendor/gix-fs/Cargo.toml
gix-glob	0.20.0	MIT OR Apache-2.0	vendor/gix-glob/Cargo.toml
gix-hash	0.18.0	MIT OR Apache-2.0	vendor/gix-hash/Cargo.toml
gix-hashtable	0.8.1	MIT OR Apache-2.0	vendor/gix-hashtable/Cargo.toml
gix-ignore	0.15.0	MIT OR Apache-2.0	vendor/gix-ignore/Cargo.toml
gix-index	0.40.0	MIT OR Apache-2.0	vendor/gix-index/Cargo.toml
gix-lock	17.1.0	MIT OR Apache-2.0	vendor/gix-lock/Cargo.toml
gix-object	0.49.1	MIT OR Apache-2.0	vendor/gix-object/Cargo.toml
gix-odb	0.69.1	MIT OR Apache-2.0	vendor/gix-odb/Cargo.toml
gix-pack	0.59.1	MIT OR Apache-2.0	vendor/gix-pack/Cargo.toml
gix-packetline	0.19.0	MIT OR Apache-2.0	vendor/gix-packetline/Cargo.toml
gix-packetline-blocking	0.19.0	MIT OR Apache-2.0	vendor/gix-packetline-blocking/Cargo.toml
gix-path	0.10.17	MIT OR Apache-2.0	vendor/gix-path/Cargo.toml
gix-pathspec	0.11.0	MIT OR Apache-2.0	vendor/gix-pathspec/Cargo.toml
gix-protocol	0.50.1	MIT OR Apache-2.0	vendor/gix-protocol/Cargo.toml
gix-quote	0.6.0	MIT OR Apache-2.0	vendor/gix-quote/Cargo.toml
gix-ref	0.52.1	MIT OR Apache-2.0	vendor/gix-ref/Cargo.toml
gix-refspec	0.30.1	MIT OR Apache-2.0	vendor/gix-refspec/Cargo.toml
gix-revision	0.34.1	MIT OR Apache-2.0	vendor/gix-revision/Cargo.toml
gix-revwalk	0.20.1	MIT OR Apache-2.0	vendor/gix-revwalk/Cargo.toml
